country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","03-06-2026 20:00:00",26.253384,72.976571,CO,14,36,15
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB","03-06-2026 20:00:00",26.506177,77.025989,SO2,3,8,6
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","03-06-2026 20:00:00",25.164090,75.858137,PM10,18,161,59
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","03-06-2026 20:00:00",13.0052189,80.2398125,SO2,5,8,6
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","03-06-2026 20:00:00",13.0052189,80.2398125,OZONE,8,15,12
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","03-06-2026 20:00:00",10.942451,76.978996,PM2.5,8,36,20
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","03-06-2026 20:00:00",10.942451,76.978996,PM10,8,41,20
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","03-06-2026 20:00:00",10.942451,76.978996,NO2,23,23,23
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","03-06-2026 20:00:00",11.7637683,79.7499835,PM10,NA,NA,NA
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","03-06-2026 20:00:00",11.7637683,79.7499835,NH3,NA,NA,NA
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","03-06-2026 20:00:00",13.4127,80.1081,PM10,50,128,88
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB","03-06-2026 20:00:00","8.816428 ",78.099039,SO2,2,17,10
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","03-06-2026 20:00:00",17.460103,78.334361,NO2,NA,NA,NA
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","03-06-2026 20:00:00",17.460103,78.334361,CO,14,15,14
